;chave;Município;Estado;Registro Correto;Similaridade
0;valor;#VALOR!;Bahia;Alcobaça;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
0;valor;#VALOR!;Bahia;Aporá;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
1;abadiadegoias;ABADIA DE GOIAS;Goiás;Abadia de Goiás;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
1;abadiadegoias;ABADIA DE GOIAS;Goiás;Abadiânia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
1;abadiadegoias;ABADIA DE GOIAS;Goiás;Água Fria de Goiás;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
1;abadiadegoias;ABADIA DE GOIAS;Goiás;Águas Lindas de Goiás;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
1;abadiadegoias;ABADIA DE GOIAS;Goiás;Alto Paraíso de Goiás;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
2;abadiadosdourados;Abadia Dos Dourados;Minas Gerais;Abadia dos Dourados;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
2;abadiadosdourados;Abadia Dos Dourados;Minas Gerais;Bandeira do Sul;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
3;abaete;ABAETE;Minas Gerais;Abaeté;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
3;abaete;ABAETE;Minas Gerais;Água Boa;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
3;abaete;ABAETE;Minas Gerais;Baependi;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
3;abaete;ABAETE;Minas Gerais;Betim;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
3;abaete;ABAETE;Minas Gerais;Cabo Verde;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
4;abaetetuba;Abaetetuba;Pará;Abaetetuba;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
4;abaetetuba;Abaetetuba;Pará;Abaetetuba;%Similaridade0.5
5;abaetetubapa;ABAETETUBA - PA;Pará;Abaetetuba;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
4;abaetetuba;Abaetetuba;Pará;Abaetetuba;%Similaridade0.5
5;abaetetubapa;ABAETETUBA - PA;Pará;Abaetetuba;%Similaridade0.5
6;abaetetubapa;ABAETETUBA/PA;Pará;Abaetetuba;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
4;abaetetuba;Abaetetuba;Pará;Abaetetuba;%Similaridade0.5
5;abaetetubapa;ABAETETUBA - PA;Pará;Abaetetuba;%Similaridade0.5
6;abaetetubapa;ABAETETUBA/PA;Pará;Abaetetuba;%Similaridade0.5
7;abaetetubapa;ABAETETUBA/PA;Pará;Abaetetuba;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
8;abati;Abatiá;Paraná;Abatiá;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
8;abati;Abatiá;Paraná;Arapoti;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
9;abelardoluzsc;ABELARDO LUZ/SC;Santa Catarina;Abelardo Luz;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
10;abreuelimape;ABREU E LIMA/PE;Pernambuco;Abreu e Lima;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
11;abreulndia;Abreulândia;Tocantins;Abreulândia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
12;acailandia;ACAILANDIA;Maranhão;Açailândia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
12;acailandia;ACAILANDIA;Maranhão;Açailândia;%Similaridade0.5
13;aailndia;Açailândia;Maranhão;Açailândia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
13;aailndia;Açailândia;Maranhão;Aldeias Altas;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
